,인덱스,분류,주소,위도,경도
0,1.0,교회,"강원도 강릉시 죽헌동 354-3, 산 4-1",37.78917285661603,128.86725799478722
1,2.0,교회,"강원도 동해시 평릉동 159-1번지 일성빌딩 지하1층, 2층, 3층",37.52954155291971,129.1054083173793
2,3.0,교회,강원도 속초시 조양동 1527-1 건물전체,38.18929334374681,128.59133618159888
3,4.0,교회,강원도 원주시 우산동 96-4번지,37.36392920564492,127.93958113542746
4,5.0,교회,강원도 춘천시 동내면 학곡리 62-6,37.82787054146626,127.76462423854163
5,6.0,교회,경기도 가평군 청평면 청평리 301-4 7층,37.74143690754265,127.42279482579977
6,7.0,교회,경기도 고양시 덕양구 화정동 967-1번지 한솔타워 7층 전체,37.63589799222081,126.83255872008965
7,8.0,교회,"경기도 과천시 별양동 1-19 뉴코아아울렛 9층, 10층",37.42630665686374,126.99185197730496
8,9.0,교회,경기도 김포시 사우동 253-3 유림회관 5층 505호,37.616595092106834,126.71572083140768
10,11.0,교회,경기도 남양주시 별내동 931-3 삼호프라자 2~6층,37.65773955042212,127.12539110237272
11,12.0,교회,경기도 부천시 원미구 중동 1146 하이베라스 7층 ,37.501993515545756,126.77105996674223
12,13.0,교회,"경기도 수원시 장안구 경수대로 1082-7, 3층전체 4층 전체",37.30997350099626,126.99440490274482
13,14.0,교회,경기도 용인시 기흥구 구갈동 581 아트프라자 8층전체,37.27129836128368,127.12650622888745
14,15.0,교회,"경기도 의정부시 호원동455-8 2층,3층(일부)",37.71186956299134,127.04786844404467
15,16.0,교회,경기도 이천시 사음동 11외 1필지,37.30394945844434,127.42673094174891
16,17.0,교회,경기도 파주시 금촌동 765-1외 1필지 광우프라자 702호~706호,37.75905964391379,126.77526780585474
17,18.0,교회,"경기도 평택시 합정동 762-7 4층, 5층",36.991608792487696,127.10006126077036
18,19.0,교회,"경기도 포천시 선단동461-1 엘카운티 제 에이동 2층 가호, 3층 가호",37.851498600730125,127.16301457017364
19,20.0,교회,경기도 하남시 감일동 176번지,37.514092137175915,127.15041932991113
20,21.0,교회,"경기도 하남시 덕풍동 744번지 케이엔몰 801,802,803,804,805호",37.55181844522341,127.2077036664185
21,22.0,교회,경기도 화성시 진안동 524-1 메트로프라자 4층 401~404호,37.21105096372812,127.03833040037313
22,23.0,교회,경남 진주시 상대동 292-21 한보 디럭스 6층,35.17964477887113,128.1034962377436
23,24.0,교회,경남 창원시 남산동 601-1번지 3층 301호,35.20395447348238,128.69336021776772
24,25.0,교회,경남 통영시 무전6길 14-21 4층,34.859389863991034,128.42528782829604
25,26.0,교회,"경북 구미시 원평동 1023-7번지 2,3층",36.12717690942185,128.34163463955034
26,27.0,교회,"경북 안동시 남부동 235-38 대영빌딩 4,5층",36.563632648105674,128.73098088886746
27,28.0,교회,경북 포항시 북구 장성동 1365-2외 3필지 장성리치프라자 3층 107호,36.069644924262306,129.3788611878106
28,29.0,교회,경남 거제시 장평로 16-12. 리치타워 6~7층(고현동1212-3),34.891590694622344,128.61664744557297
29,30.0,교회,경남 거제시 장평로 16-12. 리치타워 8층(고현동1212-3),34.891590694622344,128.61664744557297
30,31.0,교회,경남 거제시 장평로 16-12. 리치타워 9층(고현동1212-3),34.891590694622344,128.61664744557297
31,32.0,교회,경남 양산시 물금읍 서들8길1 (DS프라자3)   4층 5층 전체,35.30983090807286,129.00457081649867
32,33.0,교회,경남 창원시 마산합포구 합포로 222 1층 일부∼4층,35.21703217463856,128.587560071053
33,34.0,교회,경상남도 창원시 진해구 여좌남로55번길 19 2층,35.156566598551734,128.66198032454986
34,35.0,교회,"경상남도 통영시 무전동 1028-2번지 3,4층",34.859389863991034,128.42528782829604
36,36.0,교회,경상북도 경주시 동천동 813-5번지 3층,35.85320858310559,129.22441424703393
37,37.0,교회,경상북도 경주시 동천동 813-5번지 6층,35.85320858310559,129.22441424703393
38,40.0,교회,경상남도 김해시 대청동 304-2 위드3빌딩6층,35.19113651718783,128.80192309625167
39,38.0,교회,광주광역시 남구 송하동 46-2번지,35.11045069427261,126.89399042574658
40,39.0,교회,광주광역시 북구 오치동 992-6번지,35.18303607698656,126.90792279809531
41,41.0,교회,대구광역시 남구 대명10동1623-12번지 대덕빌딩 (전체),35.83972479374543,128.56654592338566
42,42.0,교회,"대전 서구 용문동 244-8,9,17,18,51,52,63번지",36.33794661715645,127.39510058328113
43,43.0,교회,부산광역시 사하구 하신번영로 261번길 17,35.10406442148684,128.95724210393797
44,44.0,교회,부산광역시 수영구 광안동 120-262,35.16032412351009,129.11521072810484
45,45.0,교회,"서울시 강서구 화곡3동 1034-13,19번지",37.54393469961249,126.83706453668397
46,46.0,교회,서울시 노원구 상계동 764-1 하라프라자 3층 ,37.64674352287554,127.06262512856716
47,47.0,교회,"서울시 동대문구 왕산로 147(제기동) 경동빌딩 2,3,4,5,6층 ",37.57873963147395,127.03966829405444
48,48.0,교회,서울시 동작구 신대방동 565-22우성스포츠센터 4~7층,37.49225912724603,126.90990854595049
49,49.0,교회,"서울시 서대문구 창천동 490번지 홍익사랑빌딩 2층 201,202호",37.56122655815556,126.92726013299894
50,50.0,교회,"서울시 서대문구 창천동 490번지 홍익사랑빌딩 2층 203,204호",37.56122655815556,126.92726013299894
51,51.0,교회,서울시 성동구 행당동 147번지외 1필지 삼부아파트상가 202동 3층,37.559927539300006,127.0375486409122
52,52.0,교회,"서울시 용산구 한강로3가 40-147 신세기한덕빌딩 4층,5층",37.525574721588214,126.96403427812852
53,53.0,교회,서울특별시 구로구 개봉동 182-11 외 1필지 한마음 프라자,37.494657933578004,126.86023122086043
55,54.0,교회,성남시 중원구 원터로 105번길 28,37.43482366440317,127.13972071402902
56,55.0,교회,세종특별자치시 마음로 272-3 고운에듀프라자 6층,36.51971777499483,127.23585535978688
57,56.0,교회,"안산시 단원구 고잔동 542-2 우진빌딩 5,6층",37.31735435720588,126.84230667427875
58,57.0,교회,울산광역시 남구 무거동 947-2번지,35.53988685278058,129.25185083884872
59,58.0,교회,"인천광역시 계양구 계양대로 82(작전동) 5층, 지하1층",37.53126331115573,126.72303685072629
60,59.0,교회,"인천광역시 남구 주안동 1543-11외 2필지 4, 5층",37.457231332439356,126.69171740792355
61,60.0,교회,"인천광역시 남동구 만수동 967-8번지 2층, 5층",37.450203951227564,126.73182109803338
62,61.0,교회,"인천광역시 부평구 산곡동 369-277번지,370-372번지",37.49126065440063,126.70445017969914
63,62.0,교회,"인천광역시 서구 연희동 686-4 계정빌딩3,4층",37.55018509403776,126.6765873073675
64,63.0,교회,인천광역시 연수구 연수동 592번지 401-1호,37.41708558902809,126.67810490123713
65,64.0,교회,"인천광역시 중구 신흥동 3가 31-35,38번지",37.44929997277425,126.62707955553562
66,65.0,교회,인천광역시 연수구 연수동 592번지 402호,37.41708558902809,126.67810490123713
67,66.0,교회,전남 광양시 중동 1728-5번지 지하1층 5층,34.94450892133017,127.6967928434499
68,67.0,교회,"전남 목포시 호남동 89번지, 109번지",34.79426928675923,126.38742531791947
69,68.0,교회,전남 순천시 조곡동 370-1번지,34.95949813182685,127.48988370376358
70,69.0,교회,전남 여수시 화장동 820번지,34.76991194320764,127.64431340765397
71,70.0,교회,전북 군산시 장미동 7-19번지 외 2필지,35.9878691737674,126.7157165728782
73,71.0,교회,전북 군산시 조촌동 748-5번지 (단층),35.969263545236295,126.74094543644561
74,72.0,교회,전북 익산시 창인동 258-1외17필지 ,35.939541256655055,126.95450417779725
75,73.0,교회,전북 전주시 덕진구 팔복동2가 774-3번지,35.86389613521672,127.08227783546927
76,74.0,교회,"전북 정읍시 수성동 620-18(1,2층 전체)",35.569037411386546,126.85549971528678
77,75.0,교회,제주특별자치도 제주시 이도이동 315 5층,33.50523374795842,126.5382778223044
79,77.0,교회,충남 서산시 읍내동 545,36.78915938668484,126.44667341733096
81,79.0,교회,충북 제천시 화산동 963번지,37.126329036914306,128.21583924122737
83,81.0,교회,충북 충주시 성서동 451번지 한양 프라자 4층 401호,36.97024320427022,127.9308656082528
84,82.0,교회,충청남도 천안시 서북구 성정동 713-51번지외 7필지 (성정 713-5.7.8.11.14.49.50번지),36.81637791385294,127.13945823291593
85,83.0,부속기관,강원도 강릉시 옥천동 147-10번지 2층,37.75821618924152,128.89815453150266
